index,i_cost,i,ii_low,ii_med,ii_high,iii_low,iii_med,iii_high,iv_rate,iv_platy,iv_cap,x_div
FSLR,292,7.74,13.18,13.55,14,15.03,21.19,23.63,12,100,136,0
ENPH,130,4.41,1.96,2.83,3.42,1.98,4.96,6.52,7,100,121,0
SEDG,43,4.12,-6.38,-4.13,-0.1,-2.45,3.01,7.17,7,100,121,0
JKS,25,10.15,1.65,3.35,5.44,2.2,6.15,10.47,2,100,106,5
CSIQ,18,3.87,1.47,2.85,4.66,1.71,4.75,7.08,2,100,106,0
MCHP,93,4.92,2.38,2.62,2.98,2.63,4.14,5.17,13,50,139,2
LII,540,17.96,19.4,19.93,20.74,19.62,22.55,25.34,13,50,139,1
EMR,109,4.44,5.38,5.46,5.52,5.75,6.01,6.63,12,50,136,2
XYL,141,3.78,4.14,4.22,4.3,4.54,4.75,5,11,50,133,1
PFE,28,1.84,2.15,2.35,2.63,2.38,2.73,3.13,10,50,130,6
JNJ,146,9.92,10.51,10.63,10.85,10.22,10.92,11.53,10,50,130,3
LLY,884,6.32,13.2,13.77,14.28,16.3,19.28,21.27,15,100,145,1
TSLA,183,3.12,1.73,2.54,3.41,1.65,3.37,5.84,30,100,190,0
ON,75,5.16,3.91,4.01,4.16,3.5,4.77,5.45,13,100,139,0
ADBE,532,14.81,17.77,18.02,18.83,19.74,20.35,21.91,15,50,145,0
CRM,230,8.22,9.57,9.9,10.44,10.16,10.99,11.51,15,50,145,1
ULTA,397,26.03,25.2,25.78,26.04,26.45,28.33,29.32,15,100,145,0
TGT,145,8.94,9,9.35,9.73,7.89,10.36,11.12,15,100,145,3
COST,846,14.16,15.56,16.31,16.84,16.67,17.68,19.99,12,50,136,1
