Code,Central,ud_min,hd_max,cd_min_80,cd_max_80,cd_min_50,cd_max_50
KO,52.7,51.44,59.36,22.94,97.21,27.11,108.73
PEP,147.8,145.14,167.25,64.92,276.38,76.82,305.18
COST,307.35,344.28,420.62,119.98,618.52,162.48,723.5
ULTA,229.3,187.56,572.1,41.19,689.06,59.72,890.86
BKNG,3456.55,3680.32,4789.49,866.52,7068.58,1683.67,8560.08
V,253.7,240.0,278.94,110.34,483.94,130.44,541.92
MA,394.6,356.09,417.05,162.56,742.31,195.07,846.49
FSLR,108.6,158.19,349.27,5.33,533.82,26.62,787.08
TSLA,10.4,19.38,72.24,0.02,94.97,2.33,130.51
ON,25.4,31.08,106.12,2.46,137.28,6.32,169.54
MCHP,0.2,5.39,74.42,0.0,92.68,0.0,143.86
CRM,207.4,251.56,299.21,107.95,467.16,129.42,541.56
ADBE,474.05,460.68,526.6,209.75,916.49,247.4,1021.12
MSFT,363.2,326.74,384.42,141.57,657.09,173.84,791.42
GOOG,255.9,199.33,242.9,88.79,440.98,109.23,548.53
AAPL,142.7,146.98,184.75,42.99,276.57,69.54,333.14
ENPH,37.3,16.24,110.39,0.98,154.4,5.42,221.35
PFE,23.8,18.27,59.08,3.35,94.05,6.63,121.16
JNJ,143.3,119.42,150.78,42.4,234.33,57.82,289.25
AMZN,91.1,86.03,135.22,12.9,209.52,31.08,277.63
BAC,47.8,56.34,74.19,12.88,115.2,24.6,141.04
AXP,289.7,333.91,388.77,145.02,581.57,166.08,634.19
DIS,63.6,88.38,118.91,22.59,170.89,37.17,199.89
META,685.95,498.24,667.77,183.6,1139.6,266.82,1492.18
MCO,283.5,93.45,273.63,37.47,515.16,60.59,638.97
SPGI,251.2,242.42,333.79,102.39,547.62,135.9,631.8
UBER,20.7,1.62,53.19,0.0,81.17,1.47,157.89
